Seed,d,Tol,Convergence,Loss,Accuracy
87498.0,8.0,0.0001,105.0,0.50341845905635,0.9375
87498.0,16.0,0.01,12.0,1.009040001245166,0.62890625
87498.0,16.0,0.001,61.0,0.5482793322596291,0.8984375
87498.0,16.0,0.0001,93.0,0.466156721699648,0.9453125
87498.0,32.0,0.01,8.0,0.9016322127403544,0.59375
87498.0,32.0,0.001,25.0,0.7825679904114251,0.6796875
87498.0,32.0,0.0001,25.0,0.7825679904114251,0.6796875
44131.0,2.0,0.01,21.0,0.7150433072298168,0.8515625
44131.0,2.0,0.001,38.0,0.7205453663841321,0.83984375
44131.0,2.0,0.0001,38.0,0.7205453663841321,0.83984375
44131.0,4.0,0.01,4.0,1.214981539338305,0.41796875
44131.0,4.0,0.001,38.0,0.5566578792812691,0.8203125
44131.0,4.0,0.0001,133.0,0.4762841783111857,0.89453125
44131.0,8.0,0.01,2.0,1.259855093021119,0.2890625
44131.0,8.0,0.001,32.0,0.9469744915492976,0.59765625
44131.0,8.0,0.0001,135.0,0.5644284726899973,0.9140625
44131.0,16.0,0.01,2.0,2.1379297375423354,0.26171875
44131.0,16.0,0.001,13.0,0.5826370521352737,0.90234375
44131.0,16.0,0.0001,13.0,0.5826370521352737,0.90234375
44131.0,32.0,0.01,10.0,0.2684852318815831,0.98046875
44131.0,32.0,0.001,11.0,0.2647992278667723,0.984375
44131.0,32.0,0.0001,62.0,0.2613531099146412,0.984375
60263.0,2.0,0.01,2.0,1.2861827541208517,0.515625
60263.0,2.0,0.001,60.0,0.5935585606938171,0.859375
60263.0,2.0,0.0001,174.0,0.5668628453997138,0.87109375
60263.0,4.0,0.01,15.0,0.5659697493274372,0.84765625
60263.0,4.0,0.001,35.0,0.5256060190958354,0.84765625
60263.0,4.0,0.0001,248.0,0.4376589736239079,0.9765625
60263.0,8.0,0.01,6.0,0.6302201408933521,0.8515625
60263.0,8.0,0.001,31.0,0.4677923039830367,0.921875
60263.0,8.0,0.0001,31.0,0.4677923039830367,0.921875
60263.0,16.0,0.01,17.0,1.0742490918634011,0.71484375
60263.0,16.0,0.001,43.0,0.5711172595754024,0.859375
60263.0,16.0,0.0001,441.0,0.5626151396446017,0.94921875
60263.0,32.0,0.01,13.0,1.3353564487064835,0.4296875
60263.0,32.0,0.001,26.0,1.773103048893913,0.37109375
60263.0,32.0,0.0001,144.0,0.5573945793264604,0.9453125
15795.0,64.0,0.01,6.0,0.9674158994877646,0.68359375
15795.0,64.0,0.001,15.0,1.544852945757942,0.51953125
15795.0,64.0,0.0001,96.0,0.5092865572066918,0.9296875
860.0,64.0,0.01,5.0,2.216976489896714,0.13671875
860.0,64.0,0.001,11.0,1.0563625096369966,0.48828125
860.0,64.0,0.0001,158.0,0.37351525342978276,0.90234375
