Seed,d,Tol,Convergence,Loss,Accuracy
82386.0,2.0,0.01,13.0,0.6409865650666999,0.859375
82386.0,2.0,0.001,35.0,0.4688131518231481,0.9375
82386.0,2.0,0.0001,178.0,0.4647741580184684,0.9453125
82386.0,4.0,0.01,7.0,0.7622278463588759,0.71875
82386.0,4.0,0.001,30.0,0.5299790669966933,0.87890625
82386.0,4.0,0.0001,109.0,0.4827194843750353,0.87890625
82386.0,8.0,0.01,17.0,0.6703559235334158,0.91015625
82386.0,8.0,0.001,17.0,0.6703559235334158,0.91015625
82386.0,8.0,0.0001,191.0,0.5266317144733839,0.9375
82386.0,16.0,0.01,6.0,0.636457810052442,0.84765625
82386.0,16.0,0.001,21.0,0.5987373922640266,0.8046875
82386.0,16.0,0.0001,60.0,0.6579638446664196,0.74609375
82386.0,32.0,0.01,3.0,0.5827206518085146,0.828125
82386.0,32.0,0.001,30.0,0.6855096429491334,0.73046875
82386.0,32.0,0.0001,30.0,0.6855096429491334,0.73046875
37194.0,2.0,0.01,21.0,0.4991661706659596,0.953125
37194.0,2.0,0.001,42.0,0.4770569855734456,0.96875
37194.0,2.0,0.0001,203.0,0.4792495971122578,0.96484375
37194.0,4.0,0.01,7.0,1.0861287950416578,0.546875
37194.0,4.0,0.001,23.0,0.6170942656532571,0.89453125
37194.0,4.0,0.0001,199.0,0.5757120019375781,0.96484375
37194.0,8.0,0.01,8.0,1.1045768986920954,0.703125
37194.0,8.0,0.001,53.0,0.7065628075616501,0.74609375
37194.0,8.0,0.0001,79.0,0.6403225074580422,0.7890625
37194.0,16.0,0.01,8.0,1.1250335869063952,0.58203125
37194.0,16.0,0.001,46.0,0.7460335992932253,0.80078125
37194.0,16.0,0.0001,205.0,0.6984750470605035,0.79296875
37194.0,32.0,0.01,11.0,0.6537344445335979,0.79296875
37194.0,32.0,0.001,19.0,0.5560144997141732,0.84375
37194.0,32.0,0.0001,109.0,0.4490780717888491,0.8984375
87498.0,2.0,0.01,11.0,0.5642999242689173,0.8515625
87498.0,2.0,0.001,16.0,0.5570678204331219,0.86328125
87498.0,2.0,0.0001,79.0,0.5407290626576078,0.91015625
87498.0,4.0,0.01,8.0,1.6638639113579947,0.30859375
87498.0,4.0,0.001,49.0,0.6617515306866965,0.734375
87498.0,4.0,0.0001,267.0,0.6189581094023182,0.87890625
87498.0,8.0,0.01,4.0,1.1496717798089704,0.4375
87498.0,8.0,0.001,10.0,1.82165475732118,0.27734375
87498.0,8.0,0.0001,190.0,0.5610145713155388,0.890625
87498.0,16.0,0.01,9.0,0.5307564163648655,0.89453125
87498.0,16.0,0.001,34.0,0.4758521931571583,0.875
87498.0,16.0,0.0001,48.0,0.5764411643415852,0.79296875
87498.0,32.0,0.01,14.0,0.8661482948250865,0.66015625
87498.0,32.0,0.001,17.0,0.822949528380291,0.703125
87498.0,32.0,0.0001,270.0,0.4948216957459993,0.95703125
44131.0,2.0,0.01,12.0,0.7980690367868112,0.75
44131.0,2.0,0.001,12.0,0.7980690367868112,0.75
44131.0,2.0,0.0001,260.0,0.7635907164380654,0.8671875
44131.0,4.0,0.01,23.0,0.4787384092686597,0.93359375
44131.0,4.0,0.001,41.0,0.4843726834366363,0.96875
44131.0,4.0,0.0001,108.0,0.4871652980976012,0.94921875
44131.0,8.0,0.01,17.0,0.5936851906819822,0.88671875
44131.0,8.0,0.001,38.0,0.5848421620298947,0.78515625
44131.0,8.0,0.0001,152.0,0.5186423534741886,0.91796875
44131.0,16.0,0.01,2.0,0.8337389425010331,0.69140625
44131.0,16.0,0.001,19.0,0.3440086012971245,0.98828125
44131.0,16.0,0.0001,19.0,0.3440086012971245,0.98828125
44131.0,32.0,0.01,9.0,0.4228011205334415,0.953125
44131.0,32.0,0.001,9.0,0.4228011205334415,0.953125
44131.0,32.0,0.0001,103.0,0.2427399151797093,0.9765625
60263.0,2.0,0.01,20.0,0.6113221715308506,0.84375
60263.0,2.0,0.001,32.0,0.6124765775653025,0.84375
60263.0,2.0,0.0001,127.0,0.6097530403826679,0.87890625
60263.0,4.0,0.01,9.0,0.5660195619449093,0.86328125
60263.0,4.0,0.001,55.0,0.514942370801702,0.8828125
60263.0,4.0,0.0001,194.0,0.4726485425475993,0.94921875
60263.0,8.0,0.01,2.0,1.1361836306647437,0.55859375
60263.0,8.0,0.001,2.0,1.1361836306647437,0.55859375
60263.0,8.0,0.0001,2.0,1.1361836306647437,0.55859375
60263.0,16.0,0.01,21.0,1.4345258470622957,0.24609375
60263.0,16.0,0.001,34.0,1.0606829288535455,0.6796875
60263.0,16.0,0.0001,176.0,0.5733472275535754,0.890625
60263.0,32.0,0.01,13.0,1.019117767336834,0.69140625
60263.0,32.0,0.001,13.0,1.019117767336834,0.69140625
60263.0,32.0,0.0001,98.0,0.6716057975751388,0.8125
15795.0,64.0,0.01,3.0,1.5661723500405254,0.3984375
15795.0,64.0,0.001,18.0,1.3424157213974244,0.28515625
15795.0,64.0,0.0001,84.0,0.6777062762032449,0.75390625
860.0,64.0,0.01,2.0,0.9103796559364161,0.72265625
860.0,64.0,0.001,21.0,0.6910309622662492,0.79296875
860.0,64.0,0.0001,43.0,0.45396953128515,0.94921875
76820.0,64.0,0.01,5.0,0.6879299891848283,0.76953125
76820.0,64.0,0.001,5.0,0.6879299891848283,0.76953125
76820.0,64.0,0.0001,130.0,0.6239680522920485,0.78125
54886.0,64.0,0.01,5.0,1.652453444211286,0.328125
54886.0,64.0,0.001,24.0,0.574348142835887,0.84375
54886.0,64.0,0.0001,182.0,0.31608120716364574,0.9921875
6265.0,64.0,0.01,4.0,1.1967353037927444,0.43359375
6265.0,64.0,0.001,8.0,0.5299408050229029,0.84375
6265.0,64.0,0.0001,31.0,0.2461719266087677,0.98046875
82386.0,64.0,0.01,18.0,0.9433852661170958,0.5546875
82386.0,64.0,0.001,20.0,1.1894087306574341,0.35546875
82386.0,64.0,0.0001,274.0,1.3609809760218559,0.421875
37194.0,64.0,0.01,5.0,1.0356218700243152,0.59375
37194.0,64.0,0.001,14.0,0.9571585794711512,0.51171875
37194.0,64.0,0.0001,38.0,0.6053669931936103,0.78515625
87498.0,64.0,0.01,12.0,1.1730976468366694,0.48828125
87498.0,64.0,0.001,23.0,0.9448413553630208,0.61328125
87498.0,64.0,0.0001,75.0,1.0023890851210386,0.546875
44131.0,64.0,0.01,3.0,1.4555860315671307,0.39453125
44131.0,64.0,0.001,9.0,0.576918494568077,0.82421875
44131.0,64.0,0.0001,101.0,0.5265797685428875,0.87109375
60263.0,64.0,0.01,6.0,1.3062819443189129,0.5703125
60263.0,64.0,0.001,54.0,1.4811245592316244,0.54296875
60263.0,64.0,0.0001,430.0,0.9719243963043458,0.57421875
