M,seed,0.001,0.01,0.1
32.0,883.0,34359738368.0,536870912.0,16777216.0
32.0,5633.0,137438953472.0,1073741824.0,16777216.0
32.0,4467.0,68719476736.0,536870912.0,33554432.0
32.0,8313.0,137438953472.0,2147483648.0,16777216.0
64.0,4363.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,9385.0,281474976710656.0,2199023255552.0,17179869184.0
64.0,6684.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,4645.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,4473.0,1125899906842624.0,8796093022208.0,68719476736.0
64.0,7744.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,1536.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,3247.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,1642.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,7113.0,70368744177664.0,549755813888.0,8589934592.0
64.0,1811.0,70368744177664.0,549755813888.0,4294967296.0
64.0,4955.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,4289.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,8168.0,35184372088832.0,549755813888.0,4294967296.0
64.0,3692.0,70368744177664.0,549755813888.0,8589934592.0
64.0,6909.0,70368744177664.0,549755813888.0,8589934592.0
64.0,8314.0,562949953421312.0,4398046511104.0,68719476736.0
64.0,1996.0,17592186044416.0,274877906944.0,4294967296.0
64.0,8821.0,70368744177664.0,549755813888.0,8589934592.0
64.0,9640.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,2256.0,70368744177664.0,1099511627776.0,8589934592.0
64.0,9189.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,8884.0,140737488355328.0,1099511627776.0,8589934592.0
64.0,1270.0,70368744177664.0,549755813888.0,4294967296.0
64.0,1604.0,70368744177664.0,549755813888.0,8589934592.0
64.0,8329.0,562949953421312.0,4398046511104.0,34359738368.0
64.0,7933.0,140737488355328.0,1099511627776.0,8589934592.0
64.0,1889.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,7561.0,281474976710656.0,2199023255552.0,17179869184.0
64.0,1397.0,70368744177664.0,549755813888.0,4294967296.0
64.0,2394.0,140737488355328.0,2199023255552.0,17179869184.0
64.0,5509.0,70368744177664.0,549755813888.0,8589934592.0
64.0,6992.0,140737488355328.0,1099511627776.0,17179869184.0
64.0,5217.0,281474976710656.0,2199023255552.0,34359738368.0
64.0,5415.0,140737488355328.0,1099511627776.0,17179869184.0
