seed,R,C,M,epsilon
54509.0,4096.0,1000.0,20.0,0.4174173285103908
34753.0,8192.0,10.0,20.0,0.1280079115321406
34753.0,32768.0,10.0,20.0,0.0543085468421717
932.0,8192.0,10.0,20.0,0.237408062245992
932.0,32768.0,10.0,20.0,0.2589789502685244
61325.0,8192.0,10.0,20.0,0.2555862856142701
61325.0,32768.0,10.0,20.0,0.1779364999269663
85987.0,8192.0,10.0,20.0,0.1931920343718247
85987.0,32768.0,10.0,20.0,0.1279350592161541
53492.0,8192.0,10.0,20.0,0.1072536970605848
53492.0,32768.0,10.0,20.0,0.0671268057088072
50778.0,8192.0,10.0,20.0,0.072494275833693
50778.0,32768.0,10.0,20.0,0.0473173959177576
48598.0,8192.0,10.0,20.0,0.0720233372993401
48598.0,32768.0,10.0,20.0,0.0715985340457041
61723.0,8192.0,10.0,20.0,0.1540530609656936
61723.0,32768.0,10.0,20.0,0.045644156019192
97134.0,8192.0,10.0,20.0,0.1660205876677936
97134.0,32768.0,10.0,20.0,0.0660530696033818
54509.0,8192.0,10.0,20.0,0.1828995788566416
54509.0,32768.0,10.0,20.0,0.1402951013733684
34753.0,8192.0,1000.0,20.0,0.7942639110466998
34753.0,32768.0,1000.0,20.0,0.269708587555407
932.0,8192.0,1000.0,20.0,1.1913949606118162
932.0,32768.0,1000.0,20.0,0.5689520656583071
61325.0,8192.0,1000.0,20.0,1.842707461311421
61325.0,32768.0,1000.0,20.0,0.8593706696815113
85987.0,8192.0,1000.0,20.0,6.176636723220195
85987.0,32768.0,1000.0,20.0,1.7534620052987986
53492.0,8192.0,1000.0,20.0,0.2035977500781221
53492.0,32768.0,1000.0,20.0,0.0679828166857232
50778.0,8192.0,1000.0,20.0,0.4446320273018314
50778.0,32768.0,1000.0,20.0,0.2382324322448747
48598.0,8192.0,1000.0,20.0,12.013206564378372
48598.0,32768.0,1000.0,20.0,7.891285807045117
61723.0,8192.0,1000.0,20.0,2.6432569560862142
61723.0,32768.0,1000.0,20.0,2.3259145956412866
97134.0,8192.0,1000.0,20.0,0.2368242031072605
97134.0,32768.0,1000.0,20.0,0.2020921162077051
54509.0,8192.0,1000.0,20.0,0.2947359943955572
54509.0,32768.0,1000.0,20.0,0.5255969185931786
34753.0,2.0,10.0,20.0,3.2977188639501307
