seed,R,C,M,epsilon,epsilon_euclid1,epsilon_euclid2
91502404.0,128.0,1000.0,4.0,0.0006873579055026,0.000397156338041,0.000237456111592
91502404.0,256.0,1000.0,4.0,0.0005637284781665,0.0003151520243267,0.000181155658084
91502404.0,512.0,1000.0,4.0,0.0007153352068265,0.0003576670755496,0.0002132374525434
91502404.0,1024.0,1000.0,4.0,0.0007787670697447,0.0005520512938657,0.0002919306823254
91502404.0,2048.0,1000.0,4.0,0.0007182246989383,0.0003591128773328,0.0002300402552483
91502404.0,4096.0,1000.0,4.0,0.0008795764575046,0.000484947458274,0.0002998057379534
91502404.0,8192.0,1000.0,4.0,0.0008414546873518,0.0004207278715395,0.0002504682915744
91502404.0,16384.0,1000.0,4.0,0.0006804837107055,0.0003402413274891,0.0002040709134618
91502404.0,32768.0,1000.0,4.0,0.0008940866630277,0.0004994576637969,0.0003049080663027
91502404.0,65536.0,1000.0,4.0,0.0008727492673373,0.0004781202681067,0.0002969315479399
91502404.0,131072.0,1000.0,4.0,0.0008616103234748,0.0004669813242442,0.0002919648221091
91502404.0,262144.0,1000.0,4.0,0.0008598927202687,0.000465263721038,0.000291035121189
91502404.0,524288.0,1000.0,4.0,0.0008556512336318,0.0004610222344011,0.0002898433579499
91502404.0,4.0,10.0,8.0,9.958073394101472,3.9899645836663455,1.9266409013268009
91502404.0,8.0,10.0,8.0,5.54729858098849,2.0038553379240573,1.0632404859304887
91502404.0,16.0,10.0,8.0,1.8840565784530725,0.7561405890343212,0.3854823384137559
91502404.0,32.0,10.0,8.0,0.6738317399234548,0.1728726931160753,0.1050552238033144
91502404.0,64.0,10.0,8.0,0.3607523242444301,0.1191571252844569,0.0674386548210971
91502404.0,128.0,10.0,8.0,0.3576552058895681,0.0793363219833521,0.0508187151524788
91502404.0,256.0,10.0,8.0,0.1552201947084472,0.0487797357527474,0.0258539529240717
91502404.0,512.0,10.0,8.0,0.1058256801210393,0.022928840182082,0.0162095950368615
91502404.0,1024.0,10.0,8.0,0.0513209559369236,0.0136023268872669,0.0079171419439856
91502404.0,2048.0,10.0,8.0,0.0530606039008303,0.016907821090293,0.009522851140377
91502404.0,4096.0,10.0,8.0,0.0450379820823265,0.0105829469274695,0.0072700805416489
91502404.0,8192.0,10.0,8.0,0.0367812843657526,0.0098635178736492,0.0058590035924893
91502404.0,16384.0,10.0,8.0,0.0247518598915594,0.0047483914800136,0.0032782398626503
91502404.0,32768.0,10.0,8.0,0.015391290268329,0.0040684793238171,0.0024032830774582
91502404.0,65536.0,10.0,8.0,0.0067136409152253,0.0018548991122433,0.0010203398092056
91502404.0,131072.0,10.0,8.0,0.0043554053991239,0.0013234624916694,0.0007320450622884
91502404.0,262144.0,10.0,8.0,0.0050969196772212,0.0011054458322264,0.0006767844524459
91502404.0,524288.0,10.0,8.0,0.0031338362801482,0.0012528980469763,0.000592641027798
91502404.0,4.0,1000.0,8.0,999.9580733941016,382.9743395836663,194.2586497843629
91502404.0,8.0,1000.0,8.0,5.54729858098849,2.0038553379240573,1.0632404859304887
91502404.0,16.0,1000.0,8.0,1.8840565784530725,0.7561405890343212,0.3854823384137559
91502404.0,32.0,1000.0,8.0,0.6738317399234548,0.1728726931160753,0.1050552238033144
91502404.0,64.0,1000.0,8.0,0.3607523242444301,0.1191571252844569,0.0674386548210971
91502404.0,128.0,1000.0,8.0,0.3576552058895681,0.0793363219833521,0.0508187151524788
91502404.0,256.0,1000.0,8.0,0.1552201947084472,0.0487797357527474,0.0258539529240717
91502404.0,512.0,1000.0,8.0,0.1058256801210393,0.022928840182082,0.0162095950368615
91502404.0,1024.0,1000.0,8.0,0.0513209559369236,0.0136023268872669,0.0079171419439856
91502404.0,2048.0,1000.0,8.0,0.0530606039008303,0.016907821090293,0.009522851140377
91502404.0,4096.0,1000.0,8.0,0.0450379820823265,0.0105829469274695,0.0072700805416489
91502404.0,8192.0,1000.0,8.0,0.0367812843657526,0.0098635178736492,0.0058590035924893
91502404.0,16384.0,1000.0,8.0,0.0247518598915594,0.0047483914800136,0.0032782398626503
91502404.0,32768.0,1000.0,8.0,0.015391290268329,0.0040684793238171,0.0024032830774582
91502404.0,65536.0,1000.0,8.0,0.0067136409152253,0.0018548991122433,0.0010203398092056
91502404.0,131072.0,1000.0,8.0,0.0043554053991239,0.0013234624916694,0.0007320450622884
91502404.0,262144.0,1000.0,8.0,0.0050969196772212,0.0011054458322264,0.0006767844524459
91502404.0,524288.0,1000.0,8.0,0.0031338362801482,0.0012528980469763,0.000592641027798
91502404.0,4.0,10.0,16.0,14.222236556247536,4.256854693767394,1.467777958575721
91502404.0,8.0,10.0,16.0,8.49095305059586,3.268961027866179,1.0207461871574786
91502404.0,16.0,10.0,16.0,3.8846026086156384,0.9329494778037816,0.3539659840398447
91502404.0,32.0,10.0,16.0,2.7222220399725696,1.231845542949959,0.3846832739503178
91502404.0,64.0,10.0,16.0,1.6034154367888769,0.5278870588145504,0.1867389835623888
91502404.0,128.0,10.0,16.0,1.428598592549965,0.4845658261943061,0.165328719344078
91502404.0,256.0,10.0,16.0,1.1796117589300428,0.3016702964488136,0.1140450194991118
91502404.0,512.0,10.0,16.0,0.8233416034311385,0.1489214168967871,0.07079340070588
91502404.0,1024.0,10.0,16.0,0.3875190315806307,0.1076104451899198,0.043395050077097
