seed,R,C,M,epsilon
50778.0,2048.0,10.0,10.0,0.1524646198632675
48598.0,2.0,10.0,10.0,0.2535906672757568
48598.0,64.0,10.0,10.0,0.0617516722342139
48598.0,2048.0,10.0,10.0,0.0139339141985699
61723.0,2.0,10.0,10.0,0.7282895924035083
61723.0,64.0,10.0,10.0,0.2047420264494894
61723.0,2048.0,10.0,10.0,0.0390886740586964
97134.0,2.0,10.0,10.0,1.4700410403772235
97134.0,64.0,10.0,10.0,0.217580581499974
97134.0,2048.0,10.0,10.0,0.0918160763363615
54509.0,2.0,10.0,10.0,1.2462055267815917
54509.0,64.0,10.0,10.0,0.8511174045745629
54509.0,2048.0,10.0,10.0,0.2358288512994057
34753.0,2.0,10.0,12.0,1.3146430778719458
34753.0,64.0,10.0,12.0,0.3231255552949821
34753.0,2048.0,10.0,12.0,0.1366386148988256
932.0,2.0,10.0,12.0,0.4628010956854775
932.0,64.0,10.0,12.0,0.3708802055022127
932.0,2048.0,10.0,12.0,0.1140226846700376
61325.0,2.0,10.0,12.0,1.2067741959843152
61325.0,64.0,10.0,12.0,0.8096215805067561
61325.0,2048.0,10.0,12.0,0.1772437419008827
85987.0,2.0,10.0,12.0,3.014564168260016
85987.0,64.0,10.0,12.0,0.4336036190142232
85987.0,2048.0,10.0,12.0,0.2646139459782777
53492.0,2.0,10.0,12.0,1.5108030833089077
53492.0,64.0,10.0,12.0,1.5112045766944189
53492.0,2048.0,10.0,12.0,0.1169700204606216
50778.0,2.0,10.0,12.0,1.4701259386701448
50778.0,64.0,10.0,12.0,0.2191986351583379
50778.0,2048.0,10.0,12.0,0.1453611025008117
48598.0,2.0,10.0,12.0,0.4338709260670594
48598.0,64.0,10.0,12.0,0.3022468317633575
48598.0,2048.0,10.0,12.0,0.0545695858155763
61723.0,2.0,10.0,12.0,1.9680137029272111
61723.0,64.0,10.0,12.0,0.7602299916074244
61723.0,2048.0,10.0,12.0,0.1229872762274553
97134.0,2.0,10.0,12.0,1.3435598743382464
97134.0,64.0,10.0,12.0,0.1820223805636791
97134.0,2048.0,10.0,12.0,0.0917472058880413
54509.0,2.0,10.0,12.0,0.8888937732269881
54509.0,64.0,10.0,12.0,0.8997630022183536
54509.0,2048.0,10.0,12.0,0.3353598760615557
34753.0,2.0,10.0,14.0,1.314088965461646
34753.0,64.0,10.0,14.0,0.3171363167583072
34753.0,2048.0,10.0,14.0,0.1404744162365965
932.0,2.0,10.0,14.0,0.6356063503514318
932.0,64.0,10.0,14.0,0.1412616706782099
932.0,2048.0,10.0,14.0,0.1331097076251453
61325.0,2.0,10.0,14.0,1.5322616232857378
