Seed,Shots,Evaluations,CSteps,Epsilon
87498.0,512.0,3000.0,30.0,0.06460897310114144
87498.0,2048.0,3000.0,30.0,0.030895676719099596
87498.0,8192.0,3000.0,30.0,0.01652381369305783
44131.0,2.0,3000.0,30.0,0.5611242679339191
44131.0,8.0,3000.0,30.0,0.3984021113543129
44131.0,32.0,3000.0,30.0,0.2951425304215678
44131.0,128.0,3000.0,30.0,0.10841573260338888
44131.0,512.0,3000.0,30.0,0.06353386236847769
44131.0,2048.0,3000.0,30.0,0.03137368133000851
44131.0,8192.0,3000.0,30.0,0.013597113908940917
60263.0,2.0,3000.0,30.0,0.573472255798483
60263.0,8.0,3000.0,30.0,0.41925809989412877
60263.0,32.0,3000.0,30.0,0.22204516252987316
60263.0,128.0,3000.0,30.0,0.12055180989911929
60263.0,512.0,3000.0,30.0,0.048640391751079315
60263.0,2048.0,3000.0,30.0,0.030122555715637933
60263.0,8192.0,3000.0,30.0,0.012669200351578924
16023.0,2.0,3000.0,30.0,0.5734294758961789
16023.0,8.0,3000.0,30.0,0.525323303217532
16023.0,32.0,3000.0,30.0,0.3267660334457577
16023.0,128.0,3000.0,30.0,0.09490765606315371
16023.0,512.0,3000.0,30.0,0.05257496748789692
16023.0,2048.0,3000.0,30.0,0.025248072766113905
16023.0,8192.0,3000.0,30.0,0.018427945110975952
41090.0,2.0,3000.0,30.0,0.581765394723525
41090.0,8.0,3000.0,30.0,0.4675997576617083
41090.0,32.0,3000.0,30.0,0.29533961657493135
41090.0,128.0,3000.0,30.0,0.14614596457965479
41090.0,512.0,3000.0,30.0,0.0479445570408617
41090.0,2048.0,3000.0,30.0,0.03508434633563662
41090.0,8192.0,3000.0,30.0,0.016819094800825607
67221.0,2.0,3000.0,30.0,0.5944602844175015
67221.0,8.0,3000.0,30.0,0.41779064996195764
67221.0,32.0,3000.0,30.0,0.2083299978050548
67221.0,128.0,3000.0,30.0,0.11676517262359165
67221.0,512.0,3000.0,30.0,0.08706262974445722
67221.0,2048.0,3000.0,30.0,0.030352708011030072
67221.0,8192.0,3000.0,30.0,0.0145795385216414
64820.0,2.0,3000.0,30.0,0.5512832455628675
64820.0,8.0,3000.0,30.0,0.4700274803108836
