Seed,Shots,Evaluations,CSteps,Epsilon
82386.0,512.0,1118.0,30.0,0.05317383148827748
82386.0,2048.0,1406.0,30.0,0.0757211627319
82386.0,8192.0,344.0,30.0,0.060862218489847075
37194.0,2.0,426.0,30.0,0.821674386667981
37194.0,8.0,2000.0,30.0,0.30261648854427403
37194.0,32.0,2000.0,30.0,0.2642982094501256
37194.0,128.0,784.0,30.0,0.1404272016163265
37194.0,512.0,1806.0,30.0,0.07303514327233601
37194.0,2048.0,310.0,30.0,0.09065065870932432
37194.0,8192.0,818.0,30.0,0.046086252676894146
87498.0,2.0,362.0,30.0,0.7041524241161817
87498.0,8.0,2000.0,30.0,0.4922422893928907
87498.0,32.0,596.0,30.0,0.2352929081350824
87498.0,128.0,1208.0,30.0,0.11609383090513803
87498.0,512.0,2000.0,30.0,0.08300341977743508
87498.0,2048.0,108.0,30.0,0.1332739245640795
87498.0,8192.0,212.0,30.0,0.02256471916765601
44131.0,2.0,490.0,30.0,0.7690697572223311
44131.0,8.0,2000.0,30.0,0.403788519420177
44131.0,32.0,550.0,30.0,0.3139627687460447
44131.0,128.0,634.0,30.0,0.1430630738686054
44131.0,512.0,2000.0,30.0,0.07198261698485642
44131.0,2048.0,638.0,30.0,0.04074693056688927
44131.0,8192.0,732.0,30.0,0.04141216542831605
60263.0,2.0,222.0,30.0,0.7811456039338408
60263.0,8.0,2000.0,30.0,0.4067156904943836
60263.0,32.0,2000.0,30.0,0.20766456289339896
60263.0,128.0,1914.0,30.0,0.12449199897928676
60263.0,512.0,1052.0,30.0,0.12903701569674603
60263.0,2048.0,888.0,30.0,0.05481863742930504
60263.0,8192.0,142.0,30.0,0.06600522255803198
16023.0,2.0,388.0,30.0,0.7467777126319873
16023.0,8.0,2000.0,30.0,0.673688146369755
16023.0,32.0,2000.0,30.0,0.19357169485362247
16023.0,128.0,2000.0,30.0,0.1262155482621814
16023.0,512.0,2000.0,30.0,0.06787765197849899
16023.0,2048.0,886.0,30.0,0.05930151668352501
16023.0,8192.0,438.0,30.0,0.04207270357364945
41090.0,2.0,182.0,30.0,0.7647297886729588
41090.0,8.0,2000.0,30.0,0.529818074465251
41090.0,32.0,2000.0,30.0,0.213588861290663
41090.0,128.0,826.0,30.0,0.18094255515519198
41090.0,512.0,974.0,30.0,0.04569409581248007
41090.0,2048.0,42.0,30.0,0.22725071266931102
41090.0,8192.0,1182.0,30.0,0.04249102336793997
67221.0,2.0,444.0,30.0,0.8361133505014201
67221.0,8.0,2000.0,30.0,0.546780764658485
67221.0,32.0,2000.0,30.0,0.22127249463819898
