Seed,R,Tol,Convergence,Loss,Accuracy
6265.0,64.0,0.01,2.0,1.5418247919811254,0.44140625
6265.0,64.0,0.001,30.0,0.40352078715559847,0.88671875
6265.0,64.0,0.0001,100.0,0.31827395997354774,0.921875
6265.0,128.0,0.01,13.0,0.3487598542752772,0.9296875
6265.0,128.0,0.001,13.0,0.3434550555997181,0.9296875
6265.0,128.0,0.0001,99.0,0.2887586652732883,0.94140625
6265.0,256.0,0.01,4.0,0.6503473715454853,0.8828125
6265.0,256.0,0.001,29.0,0.30118620933861173,0.97265625
6265.0,256.0,0.0001,216.0,0.2560704993353439,0.95703125
6265.0,512.0,0.01,10.0,0.3874144994401947,0.9140625
6265.0,512.0,0.001,44.0,0.33462724122386,0.921875
6265.0,512.0,0.0001,86.0,0.2834206112018601,0.96875
6265.0,1024.0,0.01,6.0,1.1673106862254286,0.48828125
6265.0,1024.0,0.001,41.0,0.5025146749350126,0.921875
6265.0,1024.0,0.0001,119.0,0.35546299655818825,0.9609375
6265.0,2048.0,0.01,8.0,0.46166079680553135,0.921875
6265.0,2048.0,0.001,39.0,0.3040250388563931,0.96484375
6265.0,2048.0,0.0001,110.0,0.2721069203961702,0.953125
6265.0,4096.0,0.01,9.0,0.4609259557406157,0.96484375
6265.0,4096.0,0.001,25.0,0.3915778246818676,0.9609375
6265.0,4096.0,0.0001,25.0,0.391152727267019,0.9609375
82386.0,8.0,0.01,5.0,1.0200382425419536,0.69921875
82386.0,8.0,0.001,48.0,2.700978082094376,0.48828125
82386.0,8.0,0.0001,55.0,2.7503220303164686,0.4453125
82386.0,16.0,0.01,5.0,1.4755417707154965,0.55078125
82386.0,16.0,0.001,23.0,0.6620518442041752,0.80859375
82386.0,16.0,0.0001,115.0,0.6906720419615388,0.765625
82386.0,32.0,0.01,3.0,3.5805379489774274,0.43359375
82386.0,32.0,0.001,44.0,0.5781059117370159,0.85546875
82386.0,32.0,0.0001,170.0,0.6149353461516323,0.859375
82386.0,64.0,0.01,3.0,1.3543222188888633,0.4296875
82386.0,64.0,0.001,39.0,0.5855891001058734,0.87109375
82386.0,64.0,0.0001,230.0,0.5549620428390913,0.90625
82386.0,128.0,0.01,12.0,0.6023423045525729,0.84375
82386.0,128.0,0.001,28.0,0.6020983648221192,0.84375
82386.0,128.0,0.0001,155.0,0.5634251671642431,0.875
82386.0,256.0,0.01,7.0,0.6577319859481298,0.75390625
82386.0,256.0,0.001,29.0,0.6271631413233387,0.82421875
82386.0,256.0,0.0001,54.0,0.5524286170732087,0.9140625
82386.0,512.0,0.01,6.0,0.7236692352770525,0.8046875
82386.0,512.0,0.001,12.0,0.6689010994125562,0.80078125
82386.0,512.0,0.0001,110.0,0.5830225149038886,0.875
82386.0,1024.0,0.01,8.0,1.1612083153459076,0.61328125
82386.0,1024.0,0.001,80.0,0.5490368166854604,0.9140625
82386.0,1024.0,0.0001,408.0,0.5249200660791667,0.921875
82386.0,2048.0,0.01,5.0,0.7345850579537798,0.71875
82386.0,2048.0,0.001,10.0,0.6960339318429907,0.75390625
82386.0,2048.0,0.0001,92.0,0.534530163614999,0.953125
82386.0,4096.0,0.01,8.0,0.8355881611715017,0.62890625
82386.0,4096.0,0.001,8.0,0.8350781547927058,0.64453125
82386.0,4096.0,0.0001,147.0,0.5281834407534899,0.9375
37194.0,8.0,0.01,6.0,1.2000468541734415,0.59765625
37194.0,8.0,0.001,46.0,2.9340187673044973,0.359375
37194.0,8.0,0.0001,72.0,4.498416702590122,0.51953125
37194.0,16.0,0.01,39.0,1.2710354530834498,0.5390625
37194.0,16.0,0.001,74.0,1.7155693911284713,0.6796875
37194.0,16.0,0.0001,384.0,1.063708695182172,0.6015625
37194.0,32.0,0.01,5.0,1.3390111619788454,0.5546875
37194.0,32.0,0.001,13.0,1.0134728501578505,0.5546875
37194.0,32.0,0.0001,87.0,0.8062920867039853,0.7734375
37194.0,64.0,0.01,16.0,0.7421494910998931,0.8359375
37194.0,64.0,0.001,46.0,0.849376881154596,0.6640625
37194.0,64.0,0.0001,189.0,0.6803419003833466,0.8515625
37194.0,128.0,0.01,2.0,1.8234266334044813,0.40234375
37194.0,128.0,0.001,2.0,1.9272853851214036,0.3671875
37194.0,128.0,0.0001,110.0,0.6646279148352594,0.80078125
