Seed,M,Tol,Convergence,Loss,Accuracy
54886.0,128.0,0.001,21.0,0.8424010931426662,0.6640625
54886.0,128.0,0.0001,268.0,0.6572943693157407,0.8046875
54886.0,256.0,0.01,5.0,0.9641174645167652,0.66015625
54886.0,256.0,0.001,81.0,0.7238220506910311,0.73828125
54886.0,256.0,0.0001,204.0,0.7831923796245814,0.79296875
54886.0,512.0,0.01,8.0,1.3246095323310418,0.48046875
54886.0,512.0,0.001,43.0,0.7220096884425388,0.7734375
54886.0,512.0,0.0001,112.0,0.721088569525377,0.8125
54886.0,1024.0,0.01,6.0,0.8752757981030916,0.61328125
54886.0,1024.0,0.001,25.0,0.8063754842224418,0.7431640625
54886.0,1024.0,0.0001,49.0,0.8890646664025518,0.662109375
54886.0,2048.0,0.01,4.0,0.8016458949570552,0.7138671875
54886.0,2048.0,0.001,32.0,0.7191588664499448,0.74853515625
54886.0,2048.0,0.0001,195.0,0.7773212118439559,0.7646484375
6265.0,64.0,0.01,2.0,0.33864669065733843,0.9375
6265.0,64.0,0.001,61.0,0.28324224754719396,0.953125
6265.0,64.0,0.0001,81.0,0.29419345948604314,0.9375
6265.0,128.0,0.01,2.0,1.3345597638243962,0.3515625
6265.0,128.0,0.001,20.0,0.35085993019766537,0.96875
6265.0,128.0,0.0001,27.0,0.39882582976066216,0.9375
6265.0,256.0,0.01,2.0,0.9361473283527686,0.65234375
6265.0,256.0,0.001,34.0,0.43147666260316,0.97265625
6265.0,256.0,0.0001,42.0,0.4019832175983232,0.9765625
6265.0,512.0,0.01,11.0,0.5061847073209059,0.919921875
6265.0,512.0,0.001,20.0,0.39656919780600197,0.9609375
6265.0,512.0,0.0001,29.0,0.3332976705477335,0.951171875
6265.0,1024.0,0.01,8.0,0.42729612855487675,0.8955078125
6265.0,1024.0,0.001,8.0,0.42729612855487675,0.8955078125
6265.0,1024.0,0.0001,31.0,0.32097783268938174,0.9580078125
6265.0,2048.0,0.01,7.0,0.3541406181264254,0.94921875
6265.0,2048.0,0.001,12.0,0.3365853471568693,0.958984375
6265.0,2048.0,0.0001,51.0,0.2766569861582423,0.93310546875
82386.0,64.0,0.01,11.0,0.5553539057502974,0.875
82386.0,64.0,0.001,19.0,0.4897568293399835,0.96875
