Seed,M,Tol,Convergence,Loss,Accuracy
44131.0,64.0,0.001,32.0,0.6026519620890907,0.75
44131.0,64.0,0.0001,112.0,0.460177072326115,0.984375
44131.0,128.0,0.01,8.0,0.870396119791354,0.609375
44131.0,128.0,0.001,15.0,0.6183206031662626,0.90625
44131.0,128.0,0.0001,141.0,0.5262838915552991,0.96875
44131.0,256.0,0.01,5.0,1.0401396309767608,0.57421875
44131.0,256.0,0.001,14.0,0.6105379071777195,0.8671875
44131.0,256.0,0.0001,61.0,0.5048477508967225,0.91796875
44131.0,512.0,0.01,9.0,1.5683095546039374,0.255859375
44131.0,512.0,0.001,66.0,0.49246743430106943,0.9609375
44131.0,512.0,0.0001,142.0,0.5018684532034421,0.970703125
44131.0,1024.0,0.01,20.0,0.7309926572164512,0.822265625
44131.0,1024.0,0.001,40.0,0.6297328664482408,0.8310546875
44131.0,1024.0,0.0001,64.0,0.6131628037137509,0.859375
44131.0,2048.0,0.01,9.0,1.1877354435302228,0.5078125
44131.0,2048.0,0.001,38.0,0.5594909163182429,0.90966796875
44131.0,2048.0,0.0001,124.0,0.5556195371587233,0.92529296875
60263.0,64.0,0.01,15.0,0.3456883043839726,0.9375
60263.0,64.0,0.001,38.0,0.30745774915948876,0.984375
60263.0,64.0,0.0001,85.0,0.3025620340171815,0.96875
60263.0,128.0,0.01,7.0,0.555184975738134,0.890625
60263.0,128.0,0.001,26.0,0.32695144319377356,0.984375
60263.0,128.0,0.0001,181.0,0.2955719793250352,0.9765625
60263.0,256.0,0.01,6.0,1.1736051121491569,0.4453125
60263.0,256.0,0.001,6.0,1.1736051121491569,0.4453125
60263.0,256.0,0.0001,79.0,0.34013178482942563,1.0
60263.0,512.0,0.01,7.0,0.9402647930623198,0.662109375
60263.0,512.0,0.001,48.0,0.29184614867495384,0.97265625
60263.0,512.0,0.0001,334.0,0.2771234870092159,0.974609375
60263.0,1024.0,0.01,7.0,0.42016258766321335,0.91015625
60263.0,1024.0,0.001,8.0,0.4199097960767558,0.91015625
60263.0,1024.0,0.0001,125.0,0.27261228329078435,0.9619140625
60263.0,2048.0,0.01,10.0,0.7313233204683856,0.73974609375
60263.0,2048.0,0.001,32.0,0.31783335502638815,0.97021484375
60263.0,2048.0,0.0001,39.0,0.30560702734596856,0.97900390625
16023.0,64.0,0.01,8.0,1.084456275553077,0.5
16023.0,64.0,0.001,36.0,0.691711314989556,0.828125
16023.0,64.0,0.0001,130.0,0.6697614585189915,0.859375
16023.0,128.0,0.01,10.0,0.8932237161905136,0.7421875
16023.0,128.0,0.001,28.0,0.9625456868210924,0.625
16023.0,128.0,0.0001,147.0,0.7027859745023639,0.7890625
16023.0,256.0,0.01,4.0,0.8750544058641258,0.59765625
16023.0,256.0,0.001,32.0,0.6228441786919798,0.890625
16023.0,256.0,0.0001,204.0,0.5721879372980594,0.87890625
