seed,R,C,M,train acc,test acc,epsilon,evaluations
63952.0,2048.0,10.0,100.0,0.993,,0.0181600657142868,72358.0
63952.0,4096.0,10.0,100.0,0.993,,0.0084787584350209,72070.0
2817.0,1.0,10.0,100.0,0.984,,0.9889458465961284,85717.0
2817.0,4.0,10.0,100.0,0.993,,0.3406035652647838,78680.0
2817.0,8.0,10.0,100.0,0.992,,0.1384761669548232,73050.0
2817.0,64.0,10.0,100.0,0.992,,0.0934821041472864,65787.0
2817.0,256.0,10.0,100.0,0.993,,0.026303324479749,66340.0
2817.0,512.0,10.0,100.0,0.993,,0.0258935249121748,67695.0
2817.0,1024.0,10.0,100.0,0.993,,0.0161122481655405,68221.0
2817.0,2048.0,10.0,100.0,0.993,,0.0120762704244636,68221.0
2817.0,4096.0,10.0,100.0,0.993,,0.0107871948147045,66833.0
91454.0,1.0,10.0,100.0,0.982,,0.988414403657886,84079.0
91454.0,4.0,10.0,100.0,0.99,,0.3708645050373763,76864.0
91454.0,8.0,10.0,100.0,0.991,,0.1735069332993923,71353.0
91454.0,64.0,10.0,100.0,0.992,,0.1075202206546152,64007.0
91454.0,256.0,10.0,100.0,0.992,,0.0188406935455886,66267.0
91454.0,512.0,10.0,100.0,0.992,,0.0171126900404838,66427.0
91454.0,1024.0,10.0,100.0,0.992,,0.013675608795897,67138.0
91454.0,2048.0,10.0,100.0,0.992,,0.0178846801508088,67334.0
91454.0,4096.0,10.0,100.0,0.992,,0.0120617425398624,66191.0
94802.0,1.0,10.0,100.0,0.986,,1.118823487531606,82676.0
94802.0,4.0,10.0,100.0,0.99,,0.388484725817507,77770.0
94802.0,8.0,10.0,100.0,0.992,,0.1737063347966586,73131.0
94802.0,64.0,10.0,100.0,0.993,,0.1135556025858735,67622.0
94802.0,256.0,10.0,100.0,0.993,,0.0257562069180129,69698.0
94802.0,512.0,10.0,100.0,0.993,,0.008153636837677,70543.0
94802.0,1024.0,10.0,100.0,0.994,,0.0070233871850243,69619.0
94802.0,2048.0,10.0,100.0,0.994,,0.0154015445649239,68750.0
94802.0,4096.0,10.0,100.0,0.993,,0.0098112637927323,70177.0
50552.0,1.0,10.0,100.0,0.982,,1.031350882520703,85661.0
50552.0,4.0,10.0,100.0,0.991,,0.3231513307743884,78548.0
50552.0,8.0,10.0,100.0,0.992,,0.1282055547567433,71752.0
50552.0,64.0,10.0,100.0,0.992,,0.0921841309497726,67315.0
50552.0,256.0,10.0,100.0,0.992,,0.0181369232242437,69119.0
50552.0,512.0,10.0,100.0,0.992,,0.0121748098695576,70211.0
50552.0,1024.0,10.0,100.0,0.992,,0.0042580128532174,70285.0
50552.0,2048.0,10.0,100.0,0.992,,0.0226664852311422,71314.0
50552.0,4096.0,10.0,100.0,0.992,,0.0106408920058207,70952.0
99057.0,1.0,10.0,100.0,0.982,,1.066245135040386,85949.0
99057.0,4.0,10.0,100.0,0.991,,0.3904883676221753,78962.0
99057.0,8.0,10.0,100.0,0.992,,0.1758407285925956,72793.0
99057.0,64.0,10.0,100.0,0.991,,0.1046262702092621,65309.0
99057.0,256.0,10.0,100.0,0.992,,0.0234476171290448,67783.0
99057.0,512.0,10.0,100.0,0.992,,0.0154932935192776,67696.0
99057.0,1024.0,10.0,100.0,0.992,,0.0107717852954288,68319.0
99057.0,2048.0,10.0,100.0,0.991,,0.0169173241954375,68001.0
99057.0,4096.0,10.0,100.0,0.991,,0.0046616549370294,67696.0
80176.0,1.0,10.0,100.0,0.983,,1.0905432054755886,84334.0
80176.0,4.0,10.0,100.0,0.992,,0.3387333969109813,75104.0
80176.0,8.0,10.0,100.0,0.992,,0.1525961684779539,71976.0
80176.0,64.0,10.0,100.0,0.992,,0.1074950372614038,66535.0
80176.0,256.0,10.0,100.0,0.993,,0.021444324764832,66074.0
80176.0,512.0,10.0,100.0,0.993,,0.0103857000415634,67262.0
80176.0,1024.0,10.0,100.0,0.992,,0.0089599895292427,66810.0
80176.0,2048.0,10.0,100.0,0.993,,0.0179309426014739,67501.0
80176.0,4096.0,10.0,100.0,0.993,,0.0105961829371418,66285.0
86040.0,1.0,10.0,100.0,0.987,,1.0549528690968033,87457.0
86040.0,4.0,10.0,100.0,0.99,,0.4630408521857854,80508.0
86040.0,8.0,10.0,100.0,0.994,,0.2341834924130084,74462.0
86040.0,64.0,10.0,100.0,0.992,,0.1152945680011911,67559.0
86040.0,256.0,10.0,100.0,0.992,,0.0301197496163062,70788.0
86040.0,512.0,10.0,100.0,0.992,,0.0199563721203053,71831.0
86040.0,1024.0,10.0,100.0,0.992,,0.0168478002736055,72435.0
86040.0,2048.0,10.0,100.0,0.992,,0.0183655159921086,73007.0
86040.0,4096.0,10.0,100.0,0.992,,0.0087994581860058,72271.0
3833.0,1.0,10.0,100.0,0.982,,1.0078170409280838,87129.0
3833.0,4.0,10.0,100.0,0.992,,0.2900094590770096,78921.0
3833.0,8.0,10.0,100.0,0.991,,0.119633558460141,75319.0
3833.0,64.0,10.0,100.0,0.993,,0.11699782074024,66243.0
3833.0,256.0,10.0,100.0,0.992,,0.0312189450832794,69293.0
3833.0,512.0,10.0,100.0,0.992,,0.0258538079074142,69469.0
3833.0,1024.0,10.0,100.0,0.992,,0.0153104518663943,70617.0
3833.0,2048.0,10.0,100.0,0.992,,0.0098018245686439,70580.0
3833.0,4096.0,10.0,100.0,0.992,,0.008844179560181,71541.0
11139.0,1.0,10.0,100.0,0.987,,1.0090757271446646,82852.0
11139.0,4.0,10.0,100.0,0.992,,0.3697316788457724,77978.0
