seed,R,C,M,train acc,epsilon,evaluations
64343.0,2048.0,10.0,100.0,0.82,0.003574070316158,84559.0
64343.0,4096.0,10.0,100.0,0.82,0.0088459430165795,84630.0
54206.0,8.0,10.0,100.0,0.84,0.0541133555848362,79463.0
54206.0,16.0,10.0,100.0,0.84,0.056876904949322,81123.0
54206.0,32.0,10.0,100.0,0.81,0.0475349323054917,81594.0
54206.0,64.0,10.0,100.0,0.84,0.0355071202600043,80003.0
54206.0,128.0,10.0,100.0,0.84,0.043058273217635,81082.0
54206.0,256.0,10.0,100.0,0.85,0.0301504014473307,82039.0
54206.0,512.0,10.0,100.0,0.84,0.0171686366165488,79866.0
54206.0,1024.0,10.0,100.0,0.84,0.0081567663010743,80213.0
54206.0,2048.0,10.0,100.0,0.83,0.0080013813308991,79199.0
54206.0,4096.0,10.0,100.0,0.83,0.0066794906923198,81694.0
58474.0,8.0,10.0,100.0,0.85,0.0817798096434254,83040.0
58474.0,16.0,10.0,100.0,0.86,0.0696133445554518,85626.0
58474.0,32.0,10.0,100.0,0.84,0.048031839504779,85802.0
58474.0,64.0,10.0,100.0,0.83,0.0341186985891207,84029.0
58474.0,128.0,10.0,100.0,0.84,0.0310707789010917,83450.0
58474.0,256.0,10.0,100.0,0.84,0.033106510357737,83985.0
58474.0,512.0,10.0,100.0,0.85,0.022809526362081,83187.0
58474.0,1024.0,10.0,100.0,0.84,0.0200715088334684,82481.0
58474.0,2048.0,10.0,100.0,0.83,0.0164754026883277,82322.0
58474.0,4096.0,10.0,100.0,0.84,0.0089931337327329,82481.0
12468.0,8.0,10.0,100.0,0.79,0.0464079938219406,81386.0
12468.0,16.0,10.0,100.0,0.84,0.0273274219349044,80753.0
12468.0,32.0,10.0,100.0,0.81,0.021368150379722,81033.0
12468.0,64.0,10.0,100.0,0.83,0.0130505563975919,81229.0
12468.0,128.0,10.0,100.0,0.84,0.0207319997067187,80335.0
12468.0,256.0,10.0,100.0,0.82,0.0162404311770775,78887.0
12468.0,512.0,10.0,100.0,0.82,0.0196020939596053,80115.0
12468.0,1024.0,10.0,100.0,0.82,0.0205662189791943,80115.0
12468.0,2048.0,10.0,100.0,0.82,0.0114578088578135,80004.0
12468.0,4096.0,10.0,100.0,0.83,0.0101649520828981,80004.0
12765.0,8.0,10.0,100.0,0.82,0.0432064796909416,81008.0
12765.0,16.0,10.0,100.0,0.82,0.0596274101947225,82285.0
12765.0,32.0,10.0,100.0,0.82,0.0483630998865276,83203.0
12765.0,64.0,10.0,100.0,0.83,0.0260165224929239,81433.0
12765.0,128.0,10.0,100.0,0.84,0.0296094573010421,82017.0
12765.0,256.0,10.0,100.0,0.82,0.0165325206524849,80604.0
12765.0,512.0,10.0,100.0,0.82,0.0149099050539174,80831.0
12765.0,1024.0,10.0,100.0,0.82,0.0153123655811597,81328.0
12765.0,2048.0,10.0,100.0,0.82,0.0122695114509357,81337.0
12765.0,4096.0,10.0,100.0,0.82,0.0123675972466355,80523.0
39769.0,8.0,10.0,100.0,0.84,0.0554552500315231,80217.0
39769.0,16.0,10.0,100.0,0.84,0.042314272655039,81000.0
39769.0,32.0,10.0,100.0,0.83,0.0350638462828249,79651.0
39769.0,64.0,10.0,100.0,0.83,0.0355718701246609,79452.0
39769.0,128.0,10.0,100.0,0.82,0.0275206937570064,80459.0
39769.0,256.0,10.0,100.0,0.82,0.0251144887626254,81683.0
39769.0,512.0,10.0,100.0,0.82,0.0159884163530612,81007.0
39769.0,1024.0,10.0,100.0,0.82,0.0110117518103639,82486.0
39769.0,2048.0,10.0,100.0,0.82,0.0105291581431625,81614.0
39769.0,4096.0,10.0,100.0,0.82,0.0085255658864918,82156.0
